model_name,target_classes,acc_before_target,acc_after_target,acc_before_retain,acc_after_retain,delta_target,delta_retain,rgd_time_sec
mobilenet_v2,Serena_Williams;Carlos_Moya;Amelie_Mauresmo;Vladimir_Putin;Jean_Chretien,0.9795918367346939,0.8571428571428571,0.9870550161812298,0.9838187702265372,0.12244897959183676,0.003236245954692629,1.8469018936157227
resnet18_pretrained,Serena_Williams;Carlos_Moya;Amelie_Mauresmo;Vladimir_Putin;Jean_Chretien,0.9846938775510204,0.8775510204081632,0.9867608120035305,0.9832303618711385,0.1071428571428572,0.003530450132391949,1.6791205406188965
resnet34_pretrained,Serena_Williams;Carlos_Moya;Amelie_Mauresmo;Vladimir_Putin;Jean_Chretien,0.9846938775510204,0.7908163265306123,0.9849955869373345,0.9794057075610474,0.19387755102040816,0.005589879376287077,1.949711561203003
mobilenet_v2,Serena_Williams;Carlos_Moya;Amelie_Mauresmo;Vladimir_Putin;Jean_Chretien;Igor_Ivanov;Hans_Blix;Dominique_de_Villepin;Carlos_Menem;Tim_Henman,0.9838709677419355,0.9225806451612903,0.9905631659056316,0.9844748858447488,0.06129032258064515,0.0060882800608828,3.384611129760742
resnet18_pretrained,Serena_Williams;Carlos_Moya;Amelie_Mauresmo;Vladimir_Putin;Jean_Chretien;Igor_Ivanov;Hans_Blix;Dominique_de_Villepin;Carlos_Menem;Tim_Henman,0.9903225806451613,0.964516129032258,0.9863013698630136,0.9832572298325722,0.02580645161290329,0.0030441400304414,3.0986008644104004
resnet34_pretrained,Serena_Williams;Carlos_Moya;Amelie_Mauresmo;Vladimir_Putin;Jean_Chretien;Igor_Ivanov;Hans_Blix;Dominique_de_Villepin;Carlos_Menem;Tim_Henman,0.9838709677419355,0.9387096774193548,0.9850837138508372,0.9802130898021308,0.04516129032258065,0.004870624048706307,3.555396795272827
